TERYT,Województwo,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25
02,dolnośląskie,,,,,,,,,,,,,,,,,,,,237,321,471,530,494,371
04,kujawsko-pomorskie,,,,,,,,,,,,,,,,,,,,410,586,826,1077,754,686
06,lubelskie,,,,,,,,,,,,,,,,,,,,142,392,492,429,360,363
08,lubuskie,,,,,,,,,,,,,,,,,,,,175,169,230,320,235,232
10,łódzkie,,,,,,,,,,,,,,,,,,,,229,452,537,651,437,456
12,małopolskie,,,,,,,,,,,,,,,,,,,,201,258,384,360,333,289
14,mazowieckie,,,,,,,,,,,,,,,,,,,,688,851,1117,1252,1075,1069
16,opolskie,,,,,,,,,,,,,,,,,,,,112,145,185,231,227,152
18,podkarpackie,,,,,,,,,,,,,,,,,,,,116,136,239,244,235,194
20,podlaskie,,,,,,,,,,,,,,,,,,,,83,155,297,325,260,230
22,pomorskie,,,,,,,,,,,,,,,,,,,,552,626,811,976,781,709
24,śląskie,,,,,,,,,,,,,,,,,,,,298,508,806,684,605,588
26,świętokrzyskie,,,,,,,,,,,,,,,,,,,,81,121,131,176,127,135
28,warmińsko-mazurskie,,,,,,,,,,,,,,,,,,,,233,568,619,681,477,512
30,wielkopolskie,,,,,,,,,,,,,,,,,,,,439,604,1009,1202,799,709
32,zachodniopomorskie,,,,,,,,,,,,,,,,,,,,547,464,746,878,654,642
XX,nieokreślono,10143,9155,7647,6471,9338,8852,7872,8983,9139,9580,7142,7666,8997,8700,8827,8437,8239,6393,9315,-3646,-77,-98,-246,-189,-47
PL,Polska,10143,9155,7647,6471,9338,8852,7872,8983,9139,9580,7142,7666,8997,8700,8827,8437,8239,6393,9315,897,6279,8802,9770,7664,7290
