TERYT,Województwo,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01
02,dolnośląskie,210357,211620,212712,213285,213718,214585,215982,217363,218512,219712,220230,220797,221940,223405,225123,226161,227224,228275,229017,229915,231444,233108,234623,236210,237662,238689,240574,243464,246989,250478,254259,258094
04,kujawsko-pomorskie,146501,147451,147891,148258,148479,149194,149947,150689,151390,151962,152329,152630,153403,154173,154994,155487,156104,156562,156896,157533,158197,158955,159591,160340,160822,161181,162179,163256,164656,165966,167549,168922
06,lubelskie,142749,143290,143547,143685,143814,144346,144830,145324,145848,146361,146584,146791,147412,148127,148905,149286,149772,150273,150558,151250,152015,152854,153527,154444,155020,155422,156812,158360,160185,162080,163962,165678
08,lubuskie,70447,70931,71250,71476,71605,71885,72233,72653,73051,73415,73643,73796,74043,74441,74846,75191,75439,75659,75882,76070,76415,76804,77057,77257,77546,77715,77981,78449,78902,79470,80001,80714
10,łódzkie,161420,162394,163082,163424,163772,164616,165573,166472,167367,168124,168557,168941,169840,170874,171794,172365,173035,173710,174162,175020,175805,176659,177557,178455,179154,179842,181194,182745,184750,186770,189386,191578
12,małopolskie,202055,203559,204450,205284,205939,206848,208362,210001,211607,213016,213792,214787,216042,218366,220675,222452,223910,225531,226682,228220,230687,233442,235845,238369,240847,242553,244808,248703,253028,257537,261921,265760
14,mazowieckie,441941,444084,445623,446683,447562,449139,451224,453390,455232,457153,458336,459489,461498,464174,466941,469126,470873,472893,474589,476785,479606,483100,486173,489258,492354,494888,498925,505086,511946,518952,527073,533332
16,opolskie,63924,64470,64860,65110,65333,65638,66074,66624,66985,67400,67698,67945,68255,68678,69207,69494,69821,70142,70396,70621,71080,71598,71995,72422,72764,73079,73534,74215,75110,75951,77007,78290
18,podkarpackie,111884,112391,112782,112973,113169,113612,114169,114709,115297,115820,116076,116378,117045,117742,118659,119152,119800,120339,120725,121463,122476,123508,124525,125782,126594,127294,128700,130879,133204,135753,138427,140584
20,podlaskie,74681,74861,74985,75073,75145,75326,75590,75772,75988,76146,76236,76362,76613,76906,77208,77331,77545,77785,77856,78106,78415,78729,78974,79233,79477,79623,80045,80640,81365,82050,82911,83470
22,pomorskie,172158,173282,173864,174361,174881,175697,176669,177744,178637,179419,180043,180620,181400,182719,183849,184716,185480,186321,186961,188062,189188,190419,191663,193022,194100,194967,196318,198527,201122,204070,207153,210510
24,śląskie,330439,332504,333813,334815,335594,336854,338989,341032,342648,344092,344943,345828,347129,349258,351282,352831,353992,355508,356515,357811,359938,362255,364568,366905,369165,370775,373509,378910,384971,391901,399186,405945
26,świętokrzyskie,61734,62073,62392,62575,62702,62974,63372,63706,64052,64436,64631,64796,65100,65499,65907,66192,66487,66802,66993,67308,67677,68073,68419,68849,69188,69400,69921,70621,71349,72098,72882,73478
28,warmińsko-mazurskie,105290,105739,106132,106309,106466,106873,107380,107925,108369,108799,109005,109168,109719,110297,110820,111092,111510,111795,112019,112456,112966,113437,113939,114502,114921,115223,116071,117257,118567,119739,121070,122100
30,wielkopolskie,244183,245804,246921,247659,248151,249439,251056,252458,253876,255105,255821,256435,257768,259343,260973,261971,263030,264023,264644,265704,267121,268515,269836,271367,272546,273320,274985,277432,280245,283436,286600,289559
32,zachodniopomorskie,123732,124598,125257,125620,125885,126535,127275,127963,128700,129472,129794,130086,130871,131782,132585,133190,133794,134290,134640,135261,135986,136711,137336,137991,138593,139019,140078,141240,142650,144133,145752,147070
XX,nieokreślono,982197,981393,980505,976644,973144,970010,968798,966240,965016,963906,960079,956734,953381,949829,946245,944340,942235,936231,929554,922133,914393,906646,902177,897502,886161,875665,865290,855992,846980,842585,838291,827948
PL,Polska,3645692,3660444,3670066,3673234,3675359,3683571,3697523,3710065,3722575,3734338,3737797,3741583,3751459,3765613,3780013,3790377,3800051,3806139,3808089,3813718,3823409,3834813,3847805,3861908,3866914,3868655,3880924,3905776,3936019,3972969,4013430,4043032
