TERYT,Województwo,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10
02,dolnośląskie,,,1,,1,1,1,,3,1,5,2,12,11,2,13,5,8,13,22,33,16,15,28,21,20,24,16,52,12,62,7,61,20,39,12,29,69,23,37,12,14,41,55,74,56,95,33,41,26,68,23,43,63,71,49,59,43,17,40,25,78,46,20,36,45,33,99,22,32,44,25,16,19,6,60,31,19,19,71,33,19,37,16,41,18,26,25,13,36,9,10,11,20,20,8,16,12,3,10,1,17,,,11,36,11,13,13,2,4,10,11,6,18,6,2,3,6,5,6,3,3,,5,9,2,5,13
04,kujawsko-pomorskie,,,,,,,,,,,,,,8,,3,3,4,,3,1,5,4,2,4,10,25,4,8,73,42,25,17,4,19,13,3,10,23,23,9,7,7,8,20,11,8,15,17,14,8,11,3,4,5,35,19,7,6,4,3,,4,,5,5,1,2,3,,,1,3,1,,,1,1,3,3,2,1,1,,1,,-1,,,-1,1,1,4,2,,,1,1,3,2,2,4,12,,1,3,11,3,5,3,,,1,8,,5,3,,3,4,2,1,,2,3,1,5,3,1
06,lubelskie,,,,,,,1,1,4,1,8,2,1,4,,3,3,3,8,9,6,6,14,4,9,18,9,18,1,18,7,7,9,7,11,8,5,17,3,9,6,5,25,9,11,3,15,3,14,7,4,6,4,5,2,3,3,1,5,2,7,,2,4,1,3,2,2,4,4,2,2,1,,1,7,,2,6,3,1,13,12,3,22,16,-1,,7,2,,8,1,1,3,6,1,4,1,2,2,6,13,1,9,11,6,15,5,11,5,4,4,5,3,10,10,9,,7,6,4,10,14,26,15,10,4,13
08,lubuskie,1,,,,,,,,,,,1,,,1,6,,,2,5,5,2,7,1,2,,3,6,5,1,2,6,3,3,,4,3,5,2,2,,1,,2,,,,1,2,1,,,,2,,,,,,,1,2,,,2,,,,,,,,,,,,,,3,2,2,4,5,3,,2,1,2,,2,2,2,,2,,2,,3,,,1,1,1,1,,7,,,3,1,1,,,1,1,2,,,2,,,,,,1,,,3,25
10,łódzkie,,,,,,,,1,1,3,10,4,12,11,,6,9,34,15,5,18,15,14,10,14,8,12,6,13,15,12,11,67,14,18,42,32,31,29,37,22,16,5,18,17,33,20,22,13,70,16,32,23,19,35,14,32,18,18,34,43,19,20,27,42,-7,16,12,10,13,11,7,8,7,6,11,6,16,6,37,8,23,15,22,28,46,30,35,30,57,3,54,112,47,62,119,77,45,38,73,90,37,39,73,62,64,75,63,44,43,48,40,39,39,15,49,26,21,17,10,52,24,21,16,31,9,32,22,16
12,małopolskie,,,,,,1,,,,,,,1,3,1,1,7,2,8,9,16,7,13,24,19,38,24,18,17,21,32,46,19,22,22,28,34,20,33,19,14,18,24,14,21,34,16,33,28,27,32,22,24,9,20,11,24,21,16,21,10,32,21,12,10,14,10,4,24,3,10,24,9,7,4,5,15,2,15,2,4,5,,3,2,9,9,16,10,7,9,16,21,27,22,32,30,43,20,9,13,18,16,9,12,23,12,13,23,16,6,2,5,11,17,10,18,16,44,18,29,13,29,17,12,21,28,35,19
14,mazowieckie,,,,,2,,1,1,2,5,5,6,13,3,28,16,25,20,20,28,37,39,40,27,103,40,26,57,68,142,54,,159,98,182,67,110,77,128,35,24,27,77,54,37,53,56,38,29,39,68,40,96,46,28,15,36,25,,25,31,45,78,42,36,22,34,26,17,21,51,22,28,19,21,33,37,42,46,29,40,20,66,76,37,65,33,52,35,47,32,28,50,58,47,36,74,80,85,54,68,66,52,56,36,57,44,84,52,39,33,40,33,29,41,41,32,27,21,20,45,36,28,17,39,6,37,50,23
16,opolskie,,,,,,,,1,1,,2,,2,2,1,1,,,4,5,2,2,3,2,3,12,11,16,5,3,12,,4,7,6,9,9,5,13,8,20,35,13,11,24,17,5,16,6,26,6,15,7,11,10,5,12,4,4,9,15,13,5,10,9,16,3,12,5,3,4,8,17,8,9,7,4,13,8,10,4,3,5,3,9,12,9,11,1,9,14,19,8,8,19,8,9,10,13,3,9,18,5,8,8,7,6,10,4,14,,5,9,23,3,21,19,8,1,7,7,9,3,5,1,3,4,6,9
18,podkarpackie,,,,,,,,1,2,3,1,1,3,,3,3,2,6,4,1,7,6,10,8,10,5,4,15,9,7,14,11,13,7,12,12,14,15,11,1,4,9,9,3,5,8,4,3,4,6,3,9,23,2,3,9,3,1,8,4,9,13,3,,2,2,,1,,,,2,,1,,,,,1,1,1,1,,,,2,2,,5,,,1,,,1,2,5,11,5,2,8,16,20,14,13,19,12,13,7,13,8,8,12,12,14,18,14,12,2,20,13,12,40,27,13,17,27,7,16
20,podlaskie,,,,,,,,,,,,,,1,1,-1,2,2,1,1,,3,3,4,9,2,8,,11,12,15,8,9,18,18,22,19,21,6,27,16,18,3,19,13,25,5,6,5,3,6,3,14,3,4,2,,8,,2,1,,1,1,1,2,,1,,1,,1,1,,1,1,9,7,,6,3,4,5,7,9,3,3,4,1,8,5,10,12,8,4,21,6,15,11,9,17,9,23,13,7,18,13,14,15,15,23,10,13,14,15,9,19,17,20,5,6,7,13,2,4,2,7,6,2
